Organization Name,Networks Shared With Me,Networks I'm Sharing
Lowe's Corporation ,"Lowes - #0504,Lowes - #0742,Lowes - #0240,Lowes - #1962,Lowes - #0642,Lowes - #2351,Lowes - #0704,Lowes - #3166,Lowes - #0696,Lowes - #0754,Lowes - #2261,Lowes - #0741,Lowes - #3453,Lowes - #2360,Lowes - #3315,Lowes - #0740,Lowes - #2727,Lowes - #0772,Lowes - #2361,Lowes - #1140,Lowes - #3477,Lowes - #1003,Lowes - #2238,Lowes - #2437,Lowes - #1792,Lowes - #1699,Lowes - #1424,Lowes - #1657,Lowes - #3278,Lowes - #1683,Lowes - #1853,Lowes - #1506,Lowes - #0725,Lowes - #1113,Lowes - #2365,Lowes - #3341 SC (FL) - Raven,Lowes - #1720,Lowes - #0448,Lowes - #2715,Lowes - #2886,Lowes - #2777,Lowes - #1855,Lowes - #3434 SC,Lowes - #1842,Lowes - #0502,Lowes - #1924,Lowes - #1714,Lowes - #1419 SC,Lowes - #0479,Lowes - #1681,Lowes - #1652,Lowes - #3603 XDT ,Lowes - #2639,Lowes - #1073,Lowes - #2457,Lowes - #1911,Lowes - #3603 XDT (FL) - Raven,Lowes - #2367,Lowes - #2702,Lowes - #2253,Lowe's - #0582,Lowes - #0613,Lowes - #1142,Lowes - #2652,Lowes - #2363,Lowes - #0604,Lowes - #2254,Lowes - #3569,Lowes - #2984,Lowes - #0654,Lowes - #2707,Lowes - #0703,Lowes - #2651,Lowes - #1843,Lowes - #3413,Lowes - #2970,Lowes - #2254 (FL) - Raven,Lowes - #0716,Lowes - #1854,Lowes - #1701,Lowes - #2904,Lowes - #2531,Lowe's - #0564,Lowes - #2673,Lowes - #3436 SC,Lowes - #1945,Lowes - #1592,Lowes - #2362,Lowes - #0573,Lowes - #1647,Lowes - #2462,Lowes - #1782,Lowes - #2224,Lowes - #3646,Lowes - #0754 (FL) - Raven,Lowes - #1841,Lowes - #1069,Lowes - #2221,Lowes - #2644,Lowes - #1732,Lowes - #2240,Lowes - #3445,Lowes - #2788,Lowes - #1897,Lowes - #3434 SC (FL) - Raven,Lowes - #1691,Lowes - #0771,Lowes - #1605,Lowes - #2364,Lowes - #2933,Lowes - #1079,Lowes - #2472,Lowe's - #0467,Lowes - #2282,Lowes - #0670,Lowes - #2753,Lowe's - #0438,Lowes - #3351,Lowes - #1691 (FL) - Raven,Lowes - #3341 SC,Lowes - #1109,Lowes - #1827,Lowes - #2577,Lowes - #0569,Lowes - #0783,Lowe's - #0592,Lowes - #2241,Lowes - #3238,Lowe's - #0417,Lowe's - #0440,Lowes - #1935,Lowes - #2349,Lowes - #3350,Lowes - #1190,Lowes - #1111,Lowes - #1598,Lowe's - #0503,Lowes - #1629,Lowes - #1685,Lowes - #1161,Lowes - #1820,Lowes - #2438,Lowes - #0724,Lowes - #0179,Lowes - #3413 (FL) - Raven,Lowes - #3435 SC",
Bay County FL SO,"Bay County FL SO Flex,Bay County FL SO",St Petersburg FL PD - NPF LPR Study
Clay County FL SO,"Clay County FL SO (Condor),Clay County FL SO (Raven),Clay County FL SO (Flex),Clay County FL SO,Clay County FL SO (Trailer)",St Petersburg FL PD - NPF LPR Study
Pinellas County FL SO,Pinellas County FL SO,St Petersburg FL PD - NPF LPR Study
Miami Beach FL PD,Miami FL PD (Flex),
Seminole County FL SO,"Seminole County FL SO,Seminole County FL SO (Flex)",St Petersburg FL PD - NPF LPR Study
St. Martin Parish LA SO,St. Martin Parish LA SO,
Fort Worth TX PD,"Fort Worth TX PD - Milestone Live PTZ,East Lancaster PID,Fort Worth TX PD Wing LPR Cameras (Q1700),Fort Worth Code Compliance,Fort Worth TX PD,Fort Worth TX PD - PID 7 Heritage,Fort Worth TX PD - Las Vegas Trail,Fort Worth TX PD - Wing LVT,Fort Worth TX PD PID #11 Stockyards,Sun Valley PID",St Petersburg FL PD - NPF LPR Study
Home Depot Corporation,"Home Depot - #6355 (FL),Home Depot - #6324 (FL),Home Depot - #6349 (FL),Home Depot - #6325 (FL),Home Depot - #0244 (FL),Home Depot - #6365 (FL),Home Depot - #6311 (FL),Home Depot - #0205 (FL),Home Depot - #0265 (FL),Home Depot - #0226 (FL),Home Depot - #0234 (FL),Home Depot - #8926 (FL),Home Depot - #1863 (FL),Home Depot - #0275 (FL),Home Depot - #6305 (FL),Home Depot - #6302 (FL),Home Depot - #6346 (FL),Home Depot - #6329 (FL),Home Depot - #0270 (FL),Home Depot - #0243 (FL),Home Depot - #6380 (FL),Home Depot - #6368 (FL),Home Depot - #6314 (FL),Home Depot - #6934 (FL),Home Depot - #8531 (FL),Home Depot - #6871 (FL),Home Depot - #0245 (FL),Home Depot - #6332 (FL),Home Depot - #6301 (FL),Home Depot - #6856 (FL),Home Depot - #6974 (FL),Home Depot - #0204 (FL),Home Depot - #6872 (FL),Home Depot - #8447 (FL),Home Depot - #0232 (FL),Home Depot - #6357 (FL),Home Depot - #0258 (FL),Home Depot - #6950 (FL),Home Depot - #6377 (FL),Home Depot - #0288 (FL),Home Depot - #0260 (FL),Home Depot - #6890 (FL),Home Depot - #6350 (FL),Home Depot - #0289 (FL),Home Depot - #0201 (FL),Home Depot - #0203 (FL),Home Depot - #6975 (FL),Home Depot - #3331 (FL),Home Depot - #6326 (FL),Home Depot - #8444 (FL),Home Depot - #0281 (FL),Home Depot - #0238 (FL),Home Depot - #6372 (FL),Home Depot - #6353 (FL),Home Depot - #0233 (FL),Home Depot - #0218 (FL),Home Depot - #0284 (FL),Home Depot - #6336 (FL),Home Depot - #6356 (FL),Home Depot - #3117 (FL),Home Depot - #6351 (FL),Home Depot - #0261 (FL),Home Depot - #6341 (FL),Home Depot - #0249 (FL),Home Depot - #0276 (FL),Home Depot - #6865 (FL),Home Depot - #6367 (FL),Home Depot - #0274 (FL),Home Depot - #0268 (FL),Home Depot - #6327 (FL),Home Depot - #6932 (FL),Home Depot - #0224 (FL),Home Depot - #1855 (FL),Home Depot - #8545 (FL),Home Depot - #0278 (FL),Home Depot - #6339 (FL),Home Depot - #6378 (FL),Home Depot - #8929 (FL),Home Depot - #0209 (FL),Home Depot - #6976 (FL),Home Depot - #6312 (FL),Home Depot - #0247 (FL),Home Depot - #6313 (FL),Home Depot - #6328 (FL),Home Depot - #6319 (FL),Home Depot - #6361 (FL),Home Depot - #6322 (FL),Home Depot - #6310 (FL),Home Depot - #0283 (FL),Home Depot - #8472 (FL),Home Depot - #0254 (FL),Home Depot - #8528 (FL),Home Depot - #6343 (FL),Home Depot - #0262 (FL),Home Depot - #0280 (FL),Home Depot - #0277 (FL),Home Depot - #6878 (FL),Home Depot - #1854 (FL),Home Depot - #6348 (FL),Home Depot - #6864 (FL),Home Depot - #6330 (FL),Home Depot - #0253 (FL),Home Depot - #6379 (FL),Home Depot - #6303 (FL),Home Depot - #6374 (FL),Home Depot - #6369 (FL),Home Depot - #0206 (FL),Home Depot - #6869 (FL),Home Depot - #0220 (FL),Home Depot - #0251 (FL),Home Depot - #6320 (FL),Home Depot - #6331 (FL),Home Depot - #6315 (FL),Home Depot - #6852 (FL),Home Depot - #6335 (FL),Home Depot - #0255 (FL),Home Depot - #6334 (FL),Home Depot - #0263 (FL),Home Depot - #0208 (FL),Home Depot - #6304 (FL),Home Depot - #6316 (FL),Home Depot - #0279 (FL),Home Depot - #6951 (FL),Home Depot - #6851 (FL),Home Depot - #0222 (FL),Home Depot - #0257 (FL),Home Depot - #0256 (FL),Home Depot - #8446 (FL),Home Depot - #6375 (FL),Home Depot - #0248 (FL),Home Depot - #6363 (FL),Home Depot - #6935 (FL),Home Depot - #0264 (FL),Home Depot - #0221 (FL),Home Depot - #0266 (FL),Home Depot - #6364 (FL),Home Depot - #3118 (FL),Home Depot - #6371 (FL),Home Depot - #6340 (FL),Home Depot - #6936 (FL),Home Depot - #0210 (FL),Home Depot - #1324 (FL),Home Depot - #0273 (FL),Home Depot - #0213 (FL),Home Depot - #0207 (FL),Home Depot - #6323 (FL),Home Depot - #6321 (FL),Home Depot - #6373 (FL),Home Depot - #0285 (FL),Home Depot - #6381 (FL),Home Depot - #0202 (FL),Home Depot - #6853 (FL),Home Depot - #6376 (FL),Home Depot - #6306 (FL),Home Depot - #0287 (FL),Home Depot - #0272 (FL)",
Lake Wales FL PD,Lake Wales FL PD,St Petersburg FL PD - NPF LPR Study
Deactivated Users,"Not in Use (Brookhaven LR),Palm Beach Gardens FL PD (Decommissioned),Brookhaven Parks Ashford Forest (GA) (Not in Use),Brookhaven GA Parks Owls (Decommissioned)",
Sumter County GA SO,"Sumter County GA School District ,Sumter County GA SO",
Columbus IN PD,Columbus IN PD,
Chatsworth GA PD,Chatsworth GA PD,
Camilla GA PD ,"Camilla GA PD (Live Video) ,Camilla GA PD ,Camilla GA PD (Raven)",
Statesboro GA PD,"Statesboro GA PD (Flex),Statesboro GA PD",
The City of Miami Police Department,"Miami FL PD ,Miami FL PD - Wing Suite,Miami FL PD (LR),Miami FL PD (Audio Detection) ",St Petersburg FL PD - NPF LPR Study
Martin County FL SO,"Martin County FL SO (Flex),Martin County FL SO",St Petersburg FL PD - NPF LPR Study
Miami FL PD (Duplicate),Miami FL PD NPF,
Miami-Dade FL SO,"Miami-Dade FL SO,Miami-Dade FL SO - NPF LPR Study,Miami-Dade FL SO (Flex),Miami Dade FL SO Flex Network",St Petersburg FL PD - NPF LPR Study
Columbia County FL SO,"Columbia County FL SO,Columbia County Housing Authority (FL),Columbia County FL SO Falcon Flex,Columbia County Housing Authority (FL) Condors",St Petersburg FL PD - NPF LPR Study
Apopka FL PD,Apopka FL PD ,St Petersburg FL PD - NPF LPR Study
West Melbourne FL PD,"West Melbourne FL PD - Wing,West Melbourne FL PD,West Melbourne FL PD - Condor",St Petersburg FL PD - NPF LPR Study
Lakeland FL PD,"Lakeland FL PD (Flex),Lakeland FL PD (Condor Demo),Lakeland FL Demo Condor,Lakeland FL PD",St Petersburg FL PD - NPF LPR Study
Pascagoula MS PD,Pascagoula MS PD,
Live Oak FL PD,Live Oak FL PD,St Petersburg FL PD - NPF LPR Study
Pensacola FL PD,Pensacola FL PD,St Petersburg FL PD - NPF LPR Study
Baldwin County GA SO,"Baldwin County GA SO - RedSpeed,Baldwin County GA SO",
Lavonia GA PD,Lavonia GA PD,
Haines City FL PD,Haines City FL PD,St Petersburg FL PD - NPF LPR Study
Ocean Ridge FL PD,"Ocean Ridge FL PD - Condor,Ocean Ridge FL PD",St Petersburg FL PD - NPF LPR Study
FL- Sanford PD,"Sanford FL PD,Sanford FL PD - Trailer",St Petersburg FL PD - NPF LPR Study
Greenville SC PD,"Greenville SC PD,GVL Mobile",
Acworth GA PD,"Acworth GA PD - Acworth Tabacco and Liquor,Acworth GA PD - TRG Vino Market,Acworth GA PD - Splash of Class Car Wash,Acworth GA PD (Flex),Acworth GA PD - Super8Motel,Acworth GA PD - Wing LPR,Acworth GA PD - Lake City Chiropractic,Acworth GA PD,Acworth GA PD - CitGo FoodMart",St Petersburg FL PD - NPF LPR Study
Griffin GA PD,Griffin GA PD - Falcon,
Houston TX PD,"Houston PD (TX) – Southwest MgmtD,Houston PD (TX)",St Petersburg FL PD - NPF LPR Study
Newton MS PD,Newton MS PD,
Ancient City Capital,"AHPC Terraces at Fieldstone Apartments LLC (GA),AHPC Orchard Park 2021 LLC (SC) ,Bandywood (MS),AHPC Plantations at Pine Lake (FL),AHPC Inverness Lakes 2021 LLC (AL),AHPC Hub Tallahassee LLC (Ocala Rd) (FL),AHPC PARKS AT RIVERCREST LLC (SC),The Rubix (Patriot Suites) (NV),AHPC PROSPER FAIRWAYS APARTMENTS LLC (SC) ,Iberia South (LA),Beacon Pointe (MS),Autumn Trace Apts (MS),FOUNTAIN CITY APARTMENTS LLC (GA),The Cove at NOLA (LA),Patriot Plaza (FL),Brookwood Apartments (LA),ALPINE APARTMENT HOMES LLC (GA),AHPC TROPICAL RIDGE APARTMENTS LLC,Regency Woods (MS),Greenbrier Apartments (WV),AHPC Lakeview at Cottage Hill 2021 LLC (AL),MILLENNIA JAX 2021 LLC (FL),Granada Square (MS),AHPC Vista Towers 2021 LLC (SC),Bern-Mas (LA),Eban Village (TX),Village Hills Apartments (WV),Sunset on the Bayou (AL),AHPC Cordova Regency (FL) ,Crestview at Cordova (FL) ,Social 1600 (FL),Gardenia Grove (MS),PSG Vesta Derby Oaks LLC (KY),AHPC SOCIAL TALLAHASSEE LLC (FL),2018 IAVF TIMBER OAKS LLC (IL),AHPC Verandas at Rocky Ridge 2021 LLC (AL),HHF - McDaniels Street (GA),2018 IAVF PRAIRIE VIEW LLC (IL),PSG Pine Forest Park (TX),Patriot Grove,Patriot Grove (MS),Kingston Point (LA)",
Florence County SC SO,Florence County SC Sheriff's Office,
Palm Beach Gardens FL PD,"Palm Beach Gardens FL PD - LPR,Palm Beach Gardens FL PD - Flex LPR,Palm Beach Gardens FL PD - DFR,Palm Beach Gardens FL PD - Trailers",St Petersburg FL PD - NPF LPR Study
Treasure Island FL PD,"Treasure Island FL PD,Treasure Island FL PD (Flex)",St Petersburg FL PD - NPF LPR Study
Douglasville GA PD,Douglasville GA PD,
FL - Belleair PD,"Belleair FL PD (Flex),Belleair PD (FL),Belleair PD (FL) (Condor)",St Petersburg FL PD - NPF LPR Study
Florida Department of Law Enforcement (FDLE),Florida Department of Law Enforcement (FDLE),St Petersburg FL PD - NPF LPR Study
Fairfield County SC SO,"Fairfield County SC SO,Fairfield County SC SO (Flex)",
Pasco County FL SO,"Pasco County FL SO,Pasco County FL SO - Flex,Pasco County FL SO - DFR ",St Petersburg FL PD - NPF LPR Study
Miramar FL PD,Miramar FL PD,St Petersburg FL PD - NPF LPR Study
Citrus County FL SO,Citrus County FL SO ,
Groveland FL PD,Groveland FL PD,
Chambers County TX SO,Chambers County TX SO ,
Palatka FL PD,Palatka FL PD,St Petersburg FL PD - NPF LPR Study
Mascotte FL PD,Mascotte FL PD,St Petersburg FL PD - NPF LPR Study
Montezuma GA PD,Montezuma GA PD,
Fruitland Park FL PD,Fruitland Park FL PD,St Petersburg FL PD - NPF LPR Study
Gulfport FL PD,Gulfport FL PD,St Petersburg FL PD - NPF LPR Study
Savannah PD - GA ,"Savannah GA PD,Savannah GA PD (Flex)",
Fort Lauderdale FL PD ,"Fort Lauderdale FL PD ,Fort Lauderdale FL PD - Flex LPR ",St Petersburg FL PD - NPF LPR Study
Kenner LA PD,Kenner LA PD,
Milton GA PD,"Milton GA PD,Milton GA PD (Flex)",
St. Johns County FL SO,"St. Johns County FL SO - Falcon Flex,St. Johns County FL SO,St. Johns County FL SO (LR)",St Petersburg FL PD - NPF LPR Study
Neptune Beach FL PD,Neptune Beach FL PD,St Petersburg FL PD - NPF LPR Study
Bonifay FL PD,Bonifay FL PD ,St Petersburg FL PD - NPF LPR Study
Indialantic FL PD,Indialantic FL PD,St Petersburg FL PD - NPF LPR Study
North Palm Beach FL PD,North Palm Beach FL PD,St Petersburg FL PD - NPF LPR Study
Sarasota FL PD,"Sarasota FL PD - Van Wezel - Milestone,Sarasota FL PD -Wing LPR (Redspeed),Sarasota FL PD - City Hall - Milestone,Sarasota FL PD Z - Fairgrounds Gateway,Sarasota FL PD (Flex),Sarasota FL PD - One Stop Shop - Milestone,Sarasota FL PD - Bay Park Cameras,Sarasota FL PD - Video Trailer,Sarasota FL PD,Sarasota FL PD - DFR,Sarasota FL PD (Raven)",St Petersburg FL PD - NPF LPR Study
Snellville GA PD,Snellville GA PD,
Zephyrhills FL PD,"Zephyrhills FL PD,Zephyrhills FL PD - Live View Cameras ,Zephyrhills FL PD (Flex)",St Petersburg FL PD - NPF LPR Study
Putnam County FL SO,"Putnam County FL SO (Flex),Putnam County FL SO",St Petersburg FL PD - NPF LPR Study
Tarpon Springs FL PD,"Tarpon Springs FL PD (Flex),Tarpon Springs PD - Wing,Tarpon Springs FL PD",St Petersburg FL PD - NPF LPR Study
Hendry County FL SO,Hendry County FL SO,St Petersburg FL PD - NPF LPR Study
Oakland FL PD,Oakland FL PD,St Petersburg FL PD - NPF LPR Study
Rockledge FL PD,Rockledge FL PD Flex,St Petersburg FL PD - NPF LPR Study
Palm Beach County FL SO,"Palm Beach County FL SO,Palm Beach County FL SO (LR),Palm Beach County FL SO (Raven),Palm Beach County FL SO (Condor)",St Petersburg FL PD - NPF LPR Study
Huffman ISD TX PD,Huffman TX ISD PD ,
Brookhaven GA PD,"Brookhaven GA PD (Falcon),Brookhaven Parks (GA)",
Winter Park FL PD,Winter Park FL PD,St Petersburg FL PD - NPF LPR Study
Chadbourn NC PD,"Chadbourn NC PD (Condor),Chadbourn NC PD,Chadbourn NC PD - Raven",
Fish and Wildlife Commission FL PD,"FL - Florida Fish & Wildlife Wing,Fish and Wildlife Commission FL PD",St Petersburg FL PD - NPF LPR Study
Juno Beach FL PD,Juno Beach FL PD,St Petersburg FL PD - NPF LPR Study
Clearwater FL PD,"Clearwater FL PD,Clearwater FL PD - FlockOS",St Petersburg FL PD - NPF LPR Study
Stetson University College of Law (FL),Stetson University College of Law (FL),
Broward County FL SO,"Lauderdale By The Sea (FL),Broward County FL SO,City of Tamarac (FL),City of Parkland FL,City of Cooper City ,City of Deerfield Beach",St Petersburg FL PD - NPF LPR Study
Indian River Shores FL PD,Indian River Shores FL PD,St Petersburg FL PD - NPF LPR Study
Sumter County FL SO,"Sumter County FL SO,Sumter County FL SO (Flex)",St Petersburg FL PD - NPF LPR Study
Okaloosa County FL SO,Okaloosa County FL SO,St Petersburg FL PD - NPF LPR Study
Marion SC PD,Marion SC PD,
Orlando FL PD,"Orlando FL PD (LR),Orlando FL PD ",St Petersburg FL PD - NPF LPR Study
Montevallo AL PD,Montevallo AL PD,
Dougherty County GA PD ,"Dougherty County GA PD ,Dougherty County GA PD (Condors)",St Petersburg FL PD - NPF LPR Study
Margate FL PD,Margate FL PD ,St Petersburg FL PD - NPF LPR Study
Lafourche Parish LA SO,Lafourche Parish LA SO,
Indian River County FL SO,"Indian River County FL SO,The Moorings Vero Beach (FL)",St Petersburg FL PD - NPF LPR Study
Richland County SC SO,Richland County SC SO,
Polk County FL SO,"Polk County FL SO - Axon,Polk County FL SO (Tech),Polk County FL SO (LR),Polk County FL SO",St Petersburg FL PD - NPF LPR Study
Quincy FL PD,Quincy FL PD,
DeKalb County GA PD,"DeKalb County PD Parks - LPR,Gresham Park Rec Center - Avigilon,Dekalb County GA PD - LPR,DeKalb County GA PD (GSD)",
Casselberry FL PD,Casselberry FL PD,St Petersburg FL PD - NPF LPR Study
Perry FL PD,Perry FL PD,St Petersburg FL PD - NPF LPR Study
Carrollton GA PD,"Carrollton GA PD - Wing Live,Carrollton GA PD Live View/PTZ,Carrollton GA PD,Carrollton GA PD Raven,Carrollton PD (GA) Flex",
D'Iberville MS PD,D'Iberville MS PD,
Cocoa Beach FL PD,Cocoa Beach FL PD,St Petersburg FL PD - NPF LPR Study
Orangeburg Department of Public Safety SC,Orangeburg Department of Public Safety SC,
Boynton Beach FL PD,"Boynton Beach FL PD - Trailers,Boynton Beach FL PD DFR,Boynton Beach FL PD - Raven,Boynton Beach FL PD",St Petersburg FL PD - NPF LPR Study
College Park GA PD,College Park GA PD - Falcon,
Moultrie GA PD,"Moultrie GA PD - Raven,Moultrie GA PD ,Moultrie GA PD (Condors)",
Jacksonville FL SO,"Jacksonville FL SO (LR),Jacksonville FL SO (Condor),Jacksonville FL SO,Jacksonville FL SO (Flex)",St Petersburg FL PD - NPF LPR Study
Plant City FL PD,"Plant City FL PD,Plant City FL PD - Milestone",St Petersburg FL PD - NPF LPR Study
Lawrenceville GA PD,Lawrenceville GA PD,
Lighthouse Point FL PD,Lighthouse Point FL PD,St Petersburg FL PD - NPF LPR Study
Glades County FL SO,"Glades County FL SO,Glades County FL SO (Flex)",St Petersburg FL PD - NPF LPR Study
Walterboro SC PD,Walterboro SC PD,
Sebastian FL PD,Sebastian FL PD,St Petersburg FL PD - NPF LPR Study
Leesburg FL PD,Leesburg FL PD,St Petersburg FL PD - NPF LPR Study
Lake Clarke Shores FL PD,Lake Clarke Shores FL PD,St Petersburg FL PD - NPF LPR Study
Bradford County FL SO,Bradford County FL SO,St Petersburg FL PD - NPF LPR Study
Davenport FL PD,Davenport FL PD,St Petersburg FL PD - NPF LPR Study
Desoto County FL SO,DeSoto County FL SO ,St Petersburg FL PD - NPF LPR Study
Alma GA PD,Alma GA PD (RedSpeed),
Brevard County FL SO ,Brevard County FL SO ,St Petersburg FL PD - NPF LPR Study
Gulfport MS PD,"Gulfport MS PD (Falcon Flex) ,Gulfport MS PD ",
Alachua County FL SO,"Alachua County FL SO Falcon Flex,Alachua County FL SO (Video Cameras),Alachua County FL SO,Alachua County FL SO Gunshot Detection",St Petersburg FL PD - NPF LPR Study
Bay Harbor Island FL PD,Bay Harbor Islands FL PD,St Petersburg FL PD - NPF LPR Study
[Federal] US GSA Office of Inspector General,US - GSA Office of Inspector General,
Edgewater FL PD,"City of Edgewater FL - (Condor),Edgewater FL PD,Edgewater FL PD (Condor),City of Edgewater (FL)",St Petersburg FL PD - NPF LPR Study
Ocala FL PD ,Ocala FL PD ,
Lowndes County GA SO,Lowndes County GA SO ,
Blackshear GA PD,Blackshear GA PD,
DeLand FL PD,DeLand FL PD,St Petersburg FL PD - NPF LPR Study
Butts County GA SO,Butts County GA SO,
Hiram GA PD,Hiram GA PD,
Gainesville FL PD,Gainesville FL PD,St Petersburg FL PD - NPF LPR Study
Davie FL PD,"Town of Southwest Ranches (FL),Davie FL PD,Davie FL PD Flex",St Petersburg FL PD - NPF LPR Study
Riviera Beach FL PD,Riviera Beach FL PD,St Petersburg FL PD - NPF LPR Study
Forsyth County GA SO,"Forsyth County GA SO,Forsyth County GA SO (Flex)",
Ormond Beach FL PD,Ormond Beach FL PD ,
Union County NC SO,"Union County NC SO (Flex),Union County NC SO",
Orange County FL SO,Orange County FL SO,St Petersburg FL PD - NPF LPR Study
Barrow County GA SO,Barrow County GA SO (Falcon),
Hillsborough County FL SO,"Hillsborough County FL SO,Hillsborough County FL SO (Flex),Hillsborough County Pierce Garage IB ",St Petersburg FL PD - NPF LPR Study
MS - Biloxi PD,Biloxi PD (MS),
Tarrant AL PD,Tarrant AL PD,
Belle Isle FL PD,"Belle Isle FL PD,Belle Isle FL PD (Live View Cameras)",St Petersburg FL PD - NPF LPR Study
Albany GA PD,"Albany GA PD Condor,Albany GA PD,Albany GA PD - Wing LVI (Redspeed),Albany GA PD Raven",St Petersburg FL PD - NPF LPR Study
Madison County GA SO,Madison County GA SO,
Lady Lake FL PD,"Lady Lake FL PD (Flex),Lady Lake FL PD",St Petersburg FL PD - NPF LPR Study
Flagler County FL SO,Flager County SO (FL),St Petersburg FL PD - NPF LPR Study
Winder GA PD,Winder GA PD,
Chatham County GA PD,"Chatham County GA PD,Chatham County PD (GA) Flex",
Cocoa FL PD,Cocoa FL PD,St Petersburg FL PD - NPF LPR Study
Monroe County GA SO,Monroe County GA SO,
Helena AL PD,Helena AL PD,
University of South Florida at St. Petersburg FL PD,University of South Florida at St. Petersburg FL PD,St Petersburg FL PD - NPF LPR Study
Stone Mountain GA PD,Stone Mountain GA PD,
Lake Mary FL PD,Lake Mary FL PD,St Petersburg FL PD - NPF LPR Study
Adrian MI PD,Adrian MI PD,
Hernando County FL SO,Hernando County FL SO,St Petersburg FL PD - NPF LPR Study
Gulf Shores AL PD,Gulf Shores AL PD,
Venice FL PD,Venice FL PD ,St Petersburg FL PD - NPF LPR Study
Dublin GA PD,"Dublin GA PD (Raven),Dublin GA PD (FLEX) ,Dublin GA PD (Condor),Dublin GA PD",
Mount Dora FL PD,Mount Dora FL PD,St Petersburg FL PD - NPF LPR Study
Holmes County FL SO,Holmes County FL SO,St Petersburg FL PD - NPF LPR Study
Lilburn GA PD,Lilburn GA PD,
Atlantis FL PD,"Atlantis FL PD (Condors),Atlantis FL PD",St Petersburg FL PD - NPF LPR Study
Ocoee FL PD,"Ocoee FL PD,Ocoee FL PD Flex",St Petersburg FL PD - NPF LPR Study
Atlanta GA PD,"Atlanta GA PD Airport Division,Atlanta GA PD",St Petersburg FL PD - NPF LPR Study
Charleston SC PD,Charleston SC PD,
Conyers GA PD,Conyers GA PD - LPR,
Highland Beach FL PD,"Highland Beach FL PD,Highland Beach FL PD (Condor)",St Petersburg FL PD - NPF LPR Study
Harrison County MS SO,Harrison County MS SO,
Darlington County SC SO,Darlington County SC SO,
FL - Hollywood PD,"Hollywood FL PD - DFR ,Hollywood FL PD,Hollywood FL PD (Condor)",St Petersburg FL PD - NPF LPR Study
Gulf County FL SO,"Gulf County FL SO,Gulf County FL SO (FLEX)",St Petersburg FL PD - NPF LPR Study
Village of Virginia Gardens FL PD,Village of Virginia Gardens FL PD,
